short_code,full_code,codeName,marketCode,marketName,marketEngName,ord1,ord2
060850,KR7060850005,영림원소프트랩,KSQ,코스닥,KOSDAQ,,16
014440,KR7014440002,영보화학,STK,유가증권,KOSPI,,16
143540,KR7143540003,영우디에스피,KSQ,코스닥,KOSDAQ,,16
111770,KR7111770004,영원무역,STK,유가증권,KOSPI,,16
009970,KR7009970005,영원무역홀딩스,STK,유가증권,KOSPI,,16
003520,KR7003520004,영진약품,STK,유가증권,KOSPI,,16
000670,KR7000670000,영풍,STK,유가증권,KOSPI,,16
036560,KR7036560001,영풍정밀,KSQ,코스닥,KOSDAQ,,16
006740,KR7006740005,영풍제지,STK,유가증권,KOSPI,,16
012280,KR7012280004,영화금속,STK,유가증권,KOSPI,,16
265560,KR7265560003,영화테크,KSQ,코스닥,KOSDAQ,,16
012160,KR7012160008,영흥,STK,유가증권,KOSPI,,16
036000,KR7036000008,예림당,KSQ,코스닥,KOSDAQ,,16
250930,KR7250930005,예선테크,KSQ,코스닥,KOSDAQ,,16
053280,KR7053280004,예스24,KSQ,코스닥,KOSDAQ,,16
015360,KR7015360001,예스코홀딩스,STK,유가증권,KOSPI,,16
122640,KR7122640006,예스티,KSQ,코스닥,KOSDAQ,,16
900300,HK0000312568,오가닉티코스메틱,KSQ,코스닥,KOSDAQ,,16
045060,KR7045060001,오공,KSQ,코스닥,KOSDAQ,,16
080520,KR7080520000,오디텍,KSQ,코스닥,KOSDAQ,,16
007310,KR7007310006,오뚜기,STK,유가증권,KOSPI,,16
039830,KR7039830005,오로라,KSQ,코스닥,KOSDAQ,,16
322310,KR7322310004,오로스테크놀로지,KSQ,코스닥,KOSDAQ,,16
046120,KR7046120002,오르비텍,KSQ,코스닥,KOSDAQ,,16
014940,KR7014940001,오리엔탈정공,KSQ,코스닥,KOSDAQ,,16
002630,KR7002630002,오리엔트바이오,STK,유가증권,KOSPI,,16
065500,KR7065500001,오리엔트정공,KSQ,코스닥,KOSDAQ,,16
271560,KR7271560005,오리온,STK,유가증권,KOSPI,,16
001800,KR7001800002,오리온홀딩스,STK,유가증권,KOSPI,,16
010470,KR7010470003,오리콤,KSQ,코스닥,KOSDAQ,,16
417860,KR7417860004,오브젠,KSQ,코스닥,KOSDAQ,,16
352910,KR7352910004,오비고,KSQ,코스닥,KOSDAQ,,16
053980,KR7053980009,오상자이엘,KSQ,코스닥,KOSDAQ,,16
052420,KR7052420007,오성첨단소재,KSQ,코스닥,KOSDAQ,,16
241790,KR7241790005,오션브릿지,KSQ,코스닥,KOSDAQ,,16
039200,KR7039200001,오스코텍,KSQ,코스닥,KOSDAQ,,16
226400,KR7226400000,오스테오닉,KSQ,코스닥,KOSDAQ,,16
031510,KR7031510001,오스템,KSQ,코스닥,KOSDAQ,,16
368970,KR7368970000,오에스피,KSQ,코스닥,KOSDAQ,,16
138080,KR7138080007,오이솔루션,KSQ,코스닥,KOSDAQ,,16
080580,KR7080580004,오킨스전자,KSQ,코스닥,KOSDAQ,,16
067170,KR7067170001,오텍,KSQ,코스닥,KOSDAQ,,16
353590,KR7353590003,오토앤,KSQ,코스닥,KOSDAQ,,16
173130,KR7173130006,오파스넷,KSQ,코스닥,KOSDAQ,,16
440320,KR7440320000,오픈놀,KSQ,코스닥,KOSDAQ,,16
049480,KR7049480007,오픈베이스,KSQ,코스닥,KOSDAQ,,16
394280,KR7394280002,오픈엣지테크놀로지,KSQ,코스닥,KOSDAQ,,16
309930,KR7309930006,오하임앤컴퍼니,KSQ,코스닥,KOSDAQ,,16
